 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
1380.00000    0.219435E+03    0.412646E+01    0.691686E+03    0.746409E+00
1410.00000    0.239627E+03    0.428695E+01    0.727509E+03    0.754836E+00
1440.00000    0.260588E+03    0.444661E+01    0.763912E+03    0.762528E+00
1470.00000    0.282313E+03    0.460559E+01    0.800922E+03    0.769572E+00
1500.00000    0.304800E+03    0.476401E+01    0.838563E+03    0.776072E+00
1530.00000    0.328046E+03    0.492198E+01    0.876854E+03    0.782088E+00
1560.00000    0.352049E+03    0.507957E+01    0.915811E+03    0.787670E+00
1590.00000    0.376809E+03    0.523686E+01    0.955450E+03    0.792861E+00
1620.00000    0.402321E+03    0.539392E+01    0.995782E+03    0.797724E+00
1650.00000    0.428589E+03    0.555079E+01    0.103682E+04    0.802279E+00
1680.00000    0.455608E+03    0.570751E+01    0.107857E+04    0.806552E+00
1710.00000    0.483380E+03    0.586412E+01    0.112104E+04    0.810586E+00
1740.00000    0.511903E+03    0.602066E+01    0.116425E+04    0.814391E+00
1770.00000    0.541179E+03    0.617716E+01    0.120819E+04    0.817991E+00
1800.00000    0.571206E+03    0.633363E+01    0.125288E+04    0.821385E+00
1830.00000    0.601983E+03    0.649009E+01    0.129832E+04    0.824619E+00
1860.00000    0.633513E+03    0.664657E+01    0.134451E+04    0.827693E+00
1890.00000    0.665793E+03    0.680308E+01    0.139146E+04    0.830612E+00
1920.00000    0.698825E+03    0.695963E+01    0.143917E+04    0.833405E+00
1950.00000    0.732610E+03    0.711624E+01    0.148766E+04    0.836058E+00
1980.00000    0.767145E+03    0.727291E+01    0.153691E+04    0.838598E+00
2010.00000    0.802434E+03    0.742967E+01    0.158695E+04    0.841030E+00
2040.00000    0.838475E+03    0.758650E+01    0.163776E+04    0.843357E+00
2070.00000    0.875269E+03    0.774342E+01    0.168935E+04    0.845598E+00
2100.00000    0.912819E+03    0.790044E+01    0.174173E+04    0.847744E+00
2130.00000    0.951121E+03    0.805756E+01    0.179490E+04    0.849804E+00
2160.00000    0.990179E+03    0.821479E+01    0.184885E+04    0.851793E+00
2190.00000    0.102999E+04    0.837213E+01    0.190360E+04    0.853708E+00
2220.00000    0.107056E+04    0.852957E+01    0.195914E+04    0.855558E+00
2250.00000    0.111189E+04    0.868714E+01    0.201548E+04    0.857333E+00
2280.00000    0.115397E+04    0.884481E+01    0.207262E+04    0.859046E+00
2310.00000    0.119681E+04    0.900261E+01    0.213056E+04    0.860718E+00
2340.00000    0.124041E+04    0.916052E+01    0.218929E+04    0.862333E+00
2370.00000    0.128476E+04    0.931856E+01    0.224884E+04    0.863900E+00
2400.00000    0.132988E+04    0.947672E+01    0.230918E+04    0.868304E+00
